	T1	n1	T2	n2	T3	n3	T4	n4	T5	n5	T6	n6	T7	n7	T8	n8	T9	n9	T10	n10	T11	n11	T12	n12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	n27	T27	T28	n28	n29	T29	T30	T31	T32	n32	T33	n33	n34	T34	T35	n35	n36	T36	T37	T38	T39	n39	T40	n40
control_1	2065.595	2814.28	1389.63	2456.093	967.3576	1374.155	1033.708	2276.834	1448.59	2444.331	2233.479	4129.161	1454.101	2219.273	2571.497	408.6918	1024.895	972.4063	1027.934	1521.808	2035.654	3483.974	424.5608	448.8457	1409.852	1453.681	1602.745	1959.445	3553.731	2599.322	4587.99	2019.242	1589.638	2088.492	2617.143	1290.416	895.6833	1483.619	2530.067	1755.117	1247.756	3323.291	5961.367	3680.632	6961.134	3773.496	3165.123	4547.795	2522.647	5819.449	1941.043	3442.104	2158.541	2997.398	1601.887	2453.644	1827.849	850.0457	2050.131	2873.67	1214.953	2915.107
control_2	2065.595	2814.28	1389.63	2456.093	967.3576	1374.155	1033.708	2276.834	1448.59	2444.331	2233.479	4129.161	1454.101	2219.273	2571.497	408.6918	1024.895	972.4063	1027.934	1521.808	2035.654	3483.974	424.5608	448.8457	1409.852	1453.681	1602.745	1959.445	3553.731	2599.322	4587.99	2019.242	1589.638	2088.492	2617.143	1290.416	895.6833	1483.619	2530.067	1755.117	1247.756	3323.291	5961.367	3680.632	6961.134	3773.496	3165.123	4547.795	2522.647	5819.449	1941.043	3442.104	2158.541	2997.398	1601.887	2453.644	1827.849	850.0457	2050.131	2873.67	1214.953	2915.107
control_3	2065.595	2814.28	1389.63	2456.093	967.3576	1374.155	1033.708	2276.834	1448.59	2444.331	2233.479	4129.161	1454.101	2219.273	2571.497	408.6918	1024.895	972.4063	1027.934	1521.808	2035.654	3483.974	424.5608	448.8457	1409.852	1453.681	1602.745	1959.445	3553.731	2599.322	4587.99	2019.242	1589.638	2088.492	2617.143	1290.416	895.6833	1483.619	2530.067	1755.117	1247.756	3323.291	5961.367	3680.632	6961.134	3773.496	3165.123	4547.795	2522.647	5819.449	1941.043	3442.104	2158.541	2997.398	1601.887	2453.644	1827.849	850.0457	2050.131	2873.67	1214.953	2915.107
control_4	2065.595	2814.28	1389.63	2456.093	967.3576	1374.155	1033.708	2276.834	1448.59	2444.331	2233.479	4129.161	1454.101	2219.273	2571.497	408.6918	1024.895	972.4063	1027.934	1521.808	2035.654	3483.974	424.5608	448.8457	1409.852	1453.681	1602.745	1959.445	3553.731	2599.322	4587.99	2019.242	1589.638	2088.492	2617.143	1290.416	895.6833	1483.619	2530.067	1755.117	1247.756	3323.291	5961.367	3680.632	6961.134	3773.496	3165.123	4547.795	2522.647	5819.449	1941.043	3442.104	2158.541	2997.398	1601.887	2453.644	1827.849	850.0457	2050.131	2873.67	1214.953	2915.107
control_5	2344.61	1559.28	1109.334	1651.35	1293.483	729.7837	1715.906	1981.641	1787.596	1475.995	3112.67	2374.869	1488.145	1412.981	2259.988	1721.369	1324.133	904.2227	1169.261	1163.821	4623.97	2057.201	1070.493	369.9942	2648.957	1322.6	1720.472	3060.959	3908.187	5128.265	6517.818	1245.924	1694.049	2736.74	1826.816	1936.349	1386.533	2740.873	1538.593	2175.111	1514.939	1326.221	2924.743	3455.945	3384.012	3830.903	3713.181	1690.274	1194.065	2596.6	2587.573	3193.064	2774.283	1729.126	1633.75	1192.958	1149.335	1071.367	3649.713	1488.149	1509.068	1417.224
control_6	2344.61	1559.28	1109.334	1651.35	1293.483	729.7837	1715.906	1981.641	1787.596	1475.995	3112.67	2374.869	1488.145	1412.981	2259.988	1721.369	1324.133	904.2227	1169.261	1163.821	4623.97	2057.201	1070.493	369.9942	2648.957	1322.6	1720.472	3060.959	3908.187	5128.265	6517.818	1245.924	1694.049	2736.74	1826.816	1936.349	1386.533	2740.873	1538.593	2175.111	1514.939	1326.221	2924.743	3455.945	3384.012	3830.903	3713.181	1690.274	1194.065	2596.6	2587.573	3193.064	2774.283	1729.126	1633.75	1192.958	1149.335	1071.367	3649.713	1488.149	1509.068	1417.224
control_7	2344.61	1559.28	1109.334	1651.35	1293.483	729.7837	1715.906	1981.641	1787.596	1475.995	3112.67	2374.869	1488.145	1412.981	2259.988	1721.369	1324.133	904.2227	1169.261	1163.821	4623.97	2057.201	1070.493	369.9942	2648.957	1322.6	1720.472	3060.959	3908.187	5128.265	6517.818	1245.924	1694.049	2736.74	1826.816	1936.349	1386.533	2740.873	1538.593	2175.111	1514.939	1326.221	2924.743	3455.945	3384.012	3830.903	3713.181	1690.274	1194.065	2596.6	2587.573	3193.064	2774.283	1729.126	1633.75	1192.958	1149.335	1071.367	3649.713	1488.149	1509.068	1417.224
control_8	2344.61	1559.28	1109.334	1651.35	1293.483	729.7837	1715.906	1981.641	1787.596	1475.995	3112.67	2374.869	1488.145	1412.981	2259.988	1721.369	1324.133	904.2227	1169.261	1163.821	4623.97	2057.201	1070.493	369.9942	2648.957	1322.6	1720.472	3060.959	3908.187	5128.265	6517.818	1245.924	1694.049	2736.74	1826.816	1936.349	1386.533	2740.873	1538.593	2175.111	1514.939	1326.221	2924.743	3455.945	3384.012	3830.903	3713.181	1690.274	1194.065	2596.6	2587.573	3193.064	2774.283	1729.126	1633.75	1192.958	1149.335	1071.367	3649.713	1488.149	1509.068	1417.224
control_9	913.1678	1031.027	141.7829	143.8318	139.1607	100.0332	107.2603	105.4583	736.8495	608.329	594.8856	538.3488	145.6903	7421.338	1086.508	1209.566	264.7219	290.783	168.5078	197.3854	1181.303	1308.318	168.5502	140.9691	994.7191	361.5872	418.5592	1206.266	821.9491	837.3901	739.4049	361.9697	489.3059	1020.794	333.0303	375.2491	1347.914	347.2224	255.7371	305.537	237.5937	365.315	354.9395	431.3014	519.184	601.7393	430.3429	363.0673	316.7782	509.1015	400.7009	615.0842	631.9763	217.2696	314.9115	290.4538	990.3951	217.9957	339.9442	355.9157	251.4111	268.4332
control_10	913.1678	1031.027	141.7829	143.8318	139.1607	100.0332	107.2603	105.4583	736.8495	608.329	594.8856	538.3488	145.6903	7421.338	1086.508	1209.566	264.7219	290.783	168.5078	197.3854	1181.303	1308.318	168.5502	140.9691	994.7191	361.5872	418.5592	1206.266	821.9491	837.3901	739.4049	361.9697	489.3059	1020.794	333.0303	375.2491	1347.914	347.2224	255.7371	305.537	237.5937	365.315	354.9395	431.3014	519.184	601.7393	430.3429	363.0673	316.7782	509.1015	400.7009	615.0842	631.9763	217.2696	314.9115	290.4538	990.3951	217.9957	339.9442	355.9157	251.4111	268.4332
