sample,q0.1,q0.2,q1.1,q1.2,q1.3.0,q1.3.1,q1.3.2,q1.3.3,q1.3.4,q1.3.5,q1.3.6,q1.3.7,q1.3.8,q1.3.9,q1.3.10,q1.3.11,q1.4.0,q1.4.1,q1.4.2,q1.4.3,q1.4.4,q1.4.5,q1.4.6,q1.4.7,q1.4.8,q1.4.9,q1.4.10,q2.1,q2.2,q2.3,q2.4,q2.5,q2.6,q2.6.1,q2.7,q2.8.0,q2.8.1,q2.8.2,q2.8.3,q2.8.4,q2.8.5,q3.1.1,q3.1.2,q3.1.3,q3.1.4,q3.1.5,q3.1.6,q3.1.7,q3.1.8,q3.1.9,q3.1.10,q3.1.11,q3.2.1,q3.2.2,q3.2.3,q3.2.4,q3.2.5,q3.2.6,q3.2.7,q3.2.8,q3.2.9,q3.2.10,q3.3.1,q3.3.2,q3.3.3,q3.3.4,q3.3.5,q3.3.6,q3.3.7,q3.3.8,q3.4.1,q3.4.2,q3.4.3,q3.4.4,q3.4.5,q4.1.1,q4.1.2,q4.1.3,q4.1.4,q4.2,q4.3.0,q4.3.1,q4.3.2,q4.3.3,q4.3.4,q4.3.5,q4.3.6,q4.4.1,q4.4.2,q4.4.3,q4.4.4,q4.4.5,q4.4.6,q4.5.1,q4.5.2,q4.6,q5.1,q5.2,q5.3.0,q5.3.1,q5.3.2,q5.3.3,q5.3.4,q5.3.5,q5.3.6,q5.3.7,q5.3.8,q5.3.9,q5.3.10,q5.4,q5.5,q5.6,q5.7,q5.8.0,q5.8.1,q5.8.2,q5.8.3,q5.8.4,q5.8.5,q5.8.6,q5.8.7,q5.9,q5.10.1.0,q5.10.1.1,q5.10.1.2,q5.10.1.3,q5.10.1.4,q5.10.1.5,q5.10.2.0,q5.10.2.1,q5.10.2.2,q5.10.2.3,q5.10.2.4,q5.10.2.5,q5.10.3.0,q5.10.3.1,q5.10.3.2,q5.10.3.3,q5.10.3.4,q5.10.3.5,q5.10.4.0,q5.10.4.1,q5.10.4.2,q5.10.4.3,q5.10.4.4,q5.10.4.5,q5.10.5.0,q5.10.5.1,q5.10.5.2,q5.10.5.3,q5.10.5.4,q5.10.5.5,q5.10.6.0,q5.10.6.1,q5.10.6.2,q5.10.6.3,q5.10.6.4,q5.10.6.5,q5.10.7.0,q5.10.7.1,q5.10.7.2,q5.10.7.3,q5.10.7.4,q5.10.7.5,q5.10.8.0,q5.10.8.1,q5.10.8.2,q5.10.8.3,q5.10.8.4,q5.10.8.5,q5.10.9.0,q5.10.9.1,q5.10.9.2,q5.10.9.3,q5.10.9.4,q5.10.9.5,q5.10.10.0,q5.10.10.1,q5.10.10.2,q5.10.10.3,q5.10.10.4,q5.10.10.5,q5.10.11.0,q5.10.11.1,q5.10.11.2,q5.10.11.3,q5.10.11.4,q5.10.11.5
1,1,3,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,2,4,2,2,3,0,0,1,0,1,1,4,4,4,5,5,5,4,4,5,4,4,1,1,4,1,4,1,1,4,4,4,3,3,3,3,3,3,3,3,2,2,2,4,1,3,3,3,3,2,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,1,2,2,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1,3,3,2,2,2,0,1,0,1,0,0,1,1,4,1,1,5,2,3,5,5,4,1,1,4,1,4,1,2,3,3,4,1,1,1,1,2,1,2,2,3,2,2,3,3,1,1,2,1,2,0,1,0,0,0,1,1,0,1,2,3,3,3,3,1,3,2,2,0,0,0,0,0,1,0,0,0,0,0,4,5,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,1,2,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,3,3,0,3,0,0,1,0,0,0,1,4,4,1,1,1,4,3,4,5,4,3,3,1,4,1,4,3,3,1,1,1,1,1,2,2,2,2,3,4,4,5,3,2,1,1,1,1,1,0,1,0,0,0,0,0,2,1,1,2,2,4,2,1,2,1,3,0,0,0,0,0,0,0,0,0,1,0,5,1,2,3,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,1,3,2,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,2,4,2,2,1,0,0,0,1,0,1,1,1,1,1,1,1,2,4,1,1,4,1,1,4,1,4,1,1,4,2,4,1,1,1,1,2,2,1,1,2,2,1,4,3,1,1,2,2,2,0,1,0,0,1,1,0,2,2,2,2,3,2,1,1,2,2,3,0,0,0,0,0,1,0,0,0,0,0,1,4,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
7,1,2,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,1,1,1,1,2,3,0,1,0,0,1,0,2,1,4,3,1,1,3,4,1,5,4,1,1,4,1,4,1,1,3,4,4,1,1,2,1,2,1,2,2,2,2,1,4,2,1,1,2,1,2,0,1,0,0,1,1,1,2,2,3,5,5,5,2,1,2,2,2,0,0,0,0,0,0,1,1,0,0,0,1,4,2,3,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
11,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,2,3,0,3,0,1,0,0,0,0,1,1,5,1,1,5,5,4,1,5,4,1,1,4,1,4,2,2,1,4,4,1,1,2,1,3,3,2,2,4,4,4,1,1,1,1,3,2,3,0,1,0,0,0,1,0,4,1,1,1,1,3,3,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,2,4,2,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
12,1,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,1,1,2,2,0,0,0,1,1,0,2,2,5,4,0,0,2,2,0,5,2,1,1,4,1,4,1,1,4,4,4,1,1,3,3,3,3,1,1,3,2,1,5,1,3,3,3,3,2,0,1,0,0,1,1,0,1,2,3,3,3,3,1,1,2,2,3,0,0,0,0,0,1,0,0,0,0,0,3,1,2,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
16,1,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,4,1,2,2,0,1,0,0,0,0,3,4,1,1,4,1,1,1,1,5,4,2,3,4,2,2,3,2,2,3,4,2,2,2,3,2,2,3,3,4,5,4,4,3,2,2,2,2,2,0,0,0,0,0,1,0,4,1,5,5,5,5,3,2,3,1,5,0,0,0,0,1,0,0,0,0,0,0,3,7,2,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,1,2,4,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,3,1,3,0,1,0,0,0,1,1,1,3,2,4,1,1,1,3,2,1,3,3,2,2,3,1,3,2,2,1,3,4,2,3,2,3,2,2,3,2,3,3,2,4,1,3,2,2,2,2,0,0,0,0,1,1,1,2,3,3,2,3,3,2,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
18,1,3,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,1,2,2,3,0,1,0,1,0,0,2,1,4,4,1,5,3,4,1,4,4,3,3,3,2,2,3,3,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,2,2,2,0,1,0,0,0,1,0,3,1,3,3,4,5,3,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,3,7,2,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
