	Energy	Protein	Fat	Carbohydrates	Potassium	Calcium	Mg	P	Fe	Zn	Cu
Foxtail_millet	364	10.5	2.7	73.1	280	14	110	280	4.8	2.7	0.45
Barley	341	10.9	2.1	72.1	220	23	46	180	1.3	1.4	0.32
Wheat	337	10.6	3.1	72.2	470	26	80	350	3.2	2.6	0.35
Brown_rice	350	6.8	2.7	73.8	230	9	110	290	2.1	1.8	0.27
White_rice	356	6.1	0.9	77.1	88	5	23	94	0.8	1.4	0.22
Glutinous_rice	235	4.2	0.8	50.3	66	7	16	78	0.2	1.4	0.22
Red_rice	189	3.9	0.4	42.4	79	7	14	54	0.4	0.8	0.13
Buckwheat_flour	361	12	3.1	69.6	410	17	190	400	2.8	2.4	0.54
Corn	350	8.6	5	70.6	290	5	75	270	1.9	1.7	0.18
Barnyard_millet	367	9.7	3.7	72.4	240	7	95	280	1.6	2.7	0.3
Indian_corn	364	9.5	2.6	74.1	410	14	110	290	2.4	1.3	0.21
Rye	334	12.7	2.7	70.7	400	31	100	290	3.5	3.5	0.44
