	エネルギー	タンパク質	脂質	炭水化物	カリウム	カルシウム	マグネシウム	リン	鉄	亜鉛	銅
あわ	364	10.5	2.7	73.1	280	14	110	280	4.8	2.7	0.45
大麦	341	10.9	2.1	72.1	220	23	46	180	1.3	1.4	0.32
小麦	337	10.6	3.1	72.2	470	26	80	350	3.2	2.6	0.35
玄米	350	6.8	2.7	73.8	230	9	110	290	2.1	1.8	0.27
精白米	356	6.1	0.9	77.1	88	5	23	94	0.8	1.4	0.22
餅米	235	4.2	0.8	50.3	66	7	16	78	0.2	1.4	0.22
赤飯	189	3.9	0.4	42.4	79	7	14	54	0.4	0.8	0.13
そば粉	361	12	3.1	69.6	410	17	190	400	2.8	2.4	0.54
とうもろこし	350	8.6	5	70.6	290	5	75	270	1.9	1.7	0.18
ひえ	367	9.7	3.7	72.4	240	7	95	280	1.6	2.7	0.3
もろこし	364	9.5	2.6	74.1	410	14	110	290	2.4	1.3	0.21
ライ麦	334	12.7	2.7	70.7	400	31	100	290	3.5	3.5	0.44
