,neighbor,work,school,childhood,hobby,social,relative,via_child,care,no_one
F20,17.1,71.4,51.4,20,20,2.9,31.4,11.4,0,2.9
F30,24.6,47.5,50.8,26.2,24.6,3.3,39.3,49.2,3.3,0
F40,18.4,26.3,39.5,21.1,39.5,0,57.9,57.9,2.6,2.6
F50,22.6,54.8,58.1,19.4,51.6,3.2,51.6,35.5,0,0
F60,63.6,6.1,51.5,27.3,51.5,15.2,69.7,24.2,0,3
F70,46.2,23.1,23.1,23.1,76.9,15.4,76.9,23.1,7.7,0
M20,18.9,70.3,51.4,27,32.4,2.7,21.6,8.1,0,2.7
M30,21.6,67.6,37.8,24.3,45.9,5.4,21.6,10.8,0,0
M40,12.5,68.8,43.8,9.4,18.8,3.1,43.8,15.6,0,3.1
M50,25,50,28.6,21.4,25,14.3,32.1,7.1,0,7.1
M60,50,45.5,13.6,18.2,31.8,9.1,54.5,9.1,0,9.1
M70,40,46.7,60,13.3,60,13.3,46.7,0,0,6.7
